Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean,CRR
4000,1.312908915,1.312908915,1.312908915,1.312908915,1.312908915,1.312908915,131.2908915
3970,1.350605009,1.350605009,1.350605009,1.350605009,1.350605009,1.350605009,135.0605009
3940,1.256014006,1.256014006,1.256014006,1.256014006,1.256014006,1.256014006,125.6014006
3910,1.213890255,1.213890255,1.213890255,1.213890255,1.213890255,1.213890255,121.3890255
3880,1.31833618,1.31833618,1.31833618,1.31833618,1.31833618,1.31833618,131.833618
3850,1.296840121,1.296840121,1.296840121,1.296840121,1.296840121,1.296840121,129.6840121
3820,1.254971946,1.254971946,1.254971946,1.254971946,1.254971946,1.254971946,125.4971946
3790,1.220629544,1.220629544,1.220629544,1.220629544,1.220629544,1.220629544,122.0629544
3760,1.234786233,1.234786233,1.234786233,1.234786233,1.234786233,1.234786233,123.4786233
3730,1.244964797,1.244964797,1.244964797,1.244964797,1.244964797,1.244964797,124.4964797
3700,1.269473063,1.269473063,1.269473063,1.269473063,1.269473063,1.269473063,126.9473063
3670,1.287477963,1.287477963,1.287477963,1.287477963,1.287477963,1.287477963,128.7477963
3640,1.252810032,1.252810032,1.252810032,1.252810032,1.252810032,1.252810032,125.2810032
3610,1.337744353,1.337744353,1.337744353,1.337744353,1.337744353,1.337744353,133.7744353
3580,1.385618917,1.385618917,1.385618917,1.385618917,1.385618917,1.385618917,138.5618917
3550,1.350964401,1.350964401,1.350964401,1.350964401,1.350964401,1.350964401,135.0964401
3520,1.380542354,1.380542354,1.380542354,1.380542354,1.380542354,1.380542354,138.0542354
3490,1.295229518,1.295229518,1.295229518,1.295229518,1.295229518,1.295229518,129.5229518
3460,1.260848119,1.260848119,1.260848119,1.260848119,1.260848119,1.260848119,126.0848119
3430,1.273743714,1.273743714,1.273743714,1.273743714,1.273743714,1.273743714,127.3743714
3400,1.313685029,1.313685029,1.313685029,1.313685029,1.313685029,1.313685029,131.3685029
3370,1.308147956,1.308147956,1.308147956,1.308147956,1.308147956,1.308147956,130.8147956
3340,1.255740277,1.255740277,1.255740277,1.255740277,1.255740277,1.255740277,125.5740277
3310,1.245020063,1.245020063,1.245020063,1.245020063,1.245020063,1.245020063,124.5020063
3280,1.278832805,1.278832805,1.278832805,1.278832805,1.278832805,1.278832805,127.8832805
3250,1.304623692,1.304623692,1.304623692,1.304623692,1.304623692,1.304623692,130.4623692
3220,1.299400099,1.299400099,1.299400099,1.299400099,1.299400099,1.299400099,129.9400099
3190,1.297875755,1.297875755,1.297875755,1.297875755,1.297875755,1.297875755,129.7875755
3160,1.289780837,1.289780837,1.289780837,1.289780837,1.289780837,1.289780837,128.9780837
3130,1.285153528,1.285153528,1.285153528,1.285153528,1.285153528,1.285153528,128.5153528
3100,1.310987807,1.310987807,1.310987807,1.310987807,1.310987807,1.310987807,131.0987807
3070,1.293389583,1.293389583,1.293389583,1.293389583,1.293389583,1.293389583,129.3389583
3040,1.271423912,1.271423912,1.271423912,1.271423912,1.271423912,1.271423912,127.1423912
3010,1.345879651,1.345879651,1.345879651,1.345879651,1.345879651,1.345879651,134.5879651
2980,1.36815334,1.36815334,1.36815334,1.36815334,1.36815334,1.36815334,136.815334
2950,1.296512009,1.296512009,1.296512009,1.296512009,1.296512009,1.296512009,129.6512009
2920,1.255233976,1.255233976,1.255233976,1.255233976,1.255233976,1.255233976,125.5233976
2890,1.303242755,1.303242755,1.303242755,1.303242755,1.303242755,1.303242755,130.3242755
2860,1.313019831,1.313019831,1.313019831,1.313019831,1.313019831,1.313019831,131.3019831
2830,1.285572467,1.285572467,1.285572467,1.285572467,1.285572467,1.285572467,128.5572467
2800,1.325371505,1.325371505,1.325371505,1.325371505,1.325371505,1.325371505,132.5371505
2770,1.314043318,1.314043318,1.314043318,1.314043318,1.314043318,1.314043318,131.4043318
2740,1.360315057,1.360315057,1.360315057,1.360315057,1.360315057,1.360315057,136.0315057
2710,1.331958591,1.331958591,1.331958591,1.331958591,1.331958591,1.331958591,133.1958591
2680,1.29945697,1.29945697,1.29945697,1.29945697,1.29945697,1.29945697,129.945697
2650,1.378829777,1.378829777,1.378829777,1.378829777,1.378829777,1.378829777,137.8829777
2620,1.37021369,1.37021369,1.37021369,1.37021369,1.37021369,1.37021369,137.021369
2590,1.310793465,1.310793465,1.310793465,1.310793465,1.310793465,1.310793465,131.0793465
2560,1.315911488,1.315911488,1.315911488,1.315911488,1.315911488,1.315911488,131.5911488
2530,1.292265724,1.292265724,1.292265724,1.292265724,1.292265724,1.292265724,129.2265724
2500,1.252918552,1.252918552,1.252918552,1.252918552,1.252918552,1.252918552,125.2918552
2470,1.248194316,1.248194316,1.248194316,1.248194316,1.248194316,1.248194316,124.8194316
2440,1.330590646,1.330590646,1.330590646,1.330590646,1.330590646,1.330590646,133.0590646
2410,1.278978697,1.278978697,1.278978697,1.278978697,1.278978697,1.278978697,127.8978697
2380,1.299829087,1.299829087,1.299829087,1.299829087,1.299829087,1.299829087,129.9829087
2350,1.328852095,1.328852095,1.328852095,1.328852095,1.328852095,1.328852095,132.8852095
2320,1.305817495,1.305817495,1.305817495,1.305817495,1.305817495,1.305817495,130.5817495
2290,1.385791865,1.385791865,1.385791865,1.385791865,1.385791865,1.385791865,138.5791865
2260,1.391524348,1.391524348,1.391524348,1.391524348,1.391524348,1.391524348,139.1524348
