Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean,CRR
4000,1.436965907,1.436965907,1.436965907,1.436965907,1.436965907,1.436965907,143.6965907
3970,1.563841491,1.563841491,1.563841491,1.563841491,1.563841491,1.563841491,156.3841491
3940,1.421984822,1.421984822,1.421984822,1.421984822,1.421984822,1.421984822,142.1984822
3910,1.453116657,1.453116657,1.453116657,1.453116657,1.453116657,1.453116657,145.3116657
3880,1.458708055,1.458708055,1.458708055,1.458708055,1.458708055,1.458708055,145.8708055
3850,1.453482718,1.453482718,1.453482718,1.453482718,1.453482718,1.453482718,145.3482718
3820,1.414800635,1.414800635,1.414800635,1.414800635,1.414800635,1.414800635,141.4800635
3790,1.416987628,1.416987628,1.416987628,1.416987628,1.416987628,1.416987628,141.6987628
3760,1.465846684,1.465846684,1.465846684,1.465846684,1.465846684,1.465846684,146.5846684
3730,1.403300134,1.403300134,1.403300134,1.403300134,1.403300134,1.403300134,140.3300134
3700,1.447739425,1.447739425,1.447739425,1.447739425,1.447739425,1.447739425,144.7739425
3670,1.423913153,1.423913153,1.423913153,1.423913153,1.423913153,1.423913153,142.3913153
3640,1.398680656,1.398680656,1.398680656,1.398680656,1.398680656,1.398680656,139.8680656
3610,1.42917484,1.42917484,1.42917484,1.42917484,1.42917484,1.42917484,142.917484
3580,1.618656331,1.618656331,1.618656331,1.618656331,1.618656331,1.618656331,161.8656331
3550,1.488727827,1.488727827,1.488727827,1.488727827,1.488727827,1.488727827,148.8727827
3520,1.445586402,1.445586402,1.445586402,1.445586402,1.445586402,1.445586402,144.5586402
3490,1.464445115,1.464445115,1.464445115,1.464445115,1.464445115,1.464445115,146.4445115
3460,1.388729894,1.388729894,1.388729894,1.388729894,1.388729894,1.388729894,138.8729894
3430,1.458791581,1.458791581,1.458791581,1.458791581,1.458791581,1.458791581,145.8791581
3400,1.439824586,1.439824586,1.439824586,1.439824586,1.439824586,1.439824586,143.9824586
3370,1.413919918,1.413919918,1.413919918,1.413919918,1.413919918,1.413919918,141.3919918
3340,1.502234341,1.502234341,1.502234341,1.502234341,1.502234341,1.502234341,150.2234341
3310,1.496820899,1.496820899,1.496820899,1.496820899,1.496820899,1.496820899,149.6820899
3280,1.490620003,1.490620003,1.490620003,1.490620003,1.490620003,1.490620003,149.0620003
3250,1.499465071,1.499465071,1.499465071,1.499465071,1.499465071,1.499465071,149.9465071
3220,1.407830951,1.407830951,1.407830951,1.407830951,1.407830951,1.407830951,140.7830951
3190,1.658420255,1.658420255,1.658420255,1.658420255,1.658420255,1.658420255,165.8420255
3160,1.452488769,1.452488769,1.452488769,1.452488769,1.452488769,1.452488769,145.2488769
3130,1.465701315,1.465701315,1.465701315,1.465701315,1.465701315,1.465701315,146.5701315
3100,1.420075649,1.420075649,1.420075649,1.420075649,1.420075649,1.420075649,142.0075649
3070,1.535910902,1.535910902,1.535910902,1.535910902,1.535910902,1.535910902,153.5910902
3040,1.561962394,1.561962394,1.561962394,1.561962394,1.561962394,1.561962394,156.1962394
3010,1.561851651,1.561851651,1.561851651,1.561851651,1.561851651,1.561851651,156.1851651
2980,1.604612964,1.604612964,1.604612964,1.604612964,1.604612964,1.604612964,160.4612964
2950,1.480047466,1.480047466,1.480047466,1.480047466,1.480047466,1.480047466,148.0047466
2920,1.449785478,1.449785478,1.449785478,1.449785478,1.449785478,1.449785478,144.9785478
2890,1.425564543,1.425564543,1.425564543,1.425564543,1.425564543,1.425564543,142.5564543
2860,1.405728397,1.405728397,1.405728397,1.405728397,1.405728397,1.405728397,140.5728397
2830,1.458339583,1.458339583,1.458339583,1.458339583,1.458339583,1.458339583,145.8339583
2800,1.514404595,1.514404595,1.514404595,1.514404595,1.514404595,1.514404595,151.4404595
2770,1.452319808,1.452319808,1.452319808,1.452319808,1.452319808,1.452319808,145.2319808
2740,1.595109647,1.595109647,1.595109647,1.595109647,1.595109647,1.595109647,159.5109647
2710,1.440752468,1.440752468,1.440752468,1.440752468,1.440752468,1.440752468,144.0752468
2680,1.456978679,1.456978679,1.456978679,1.456978679,1.456978679,1.456978679,145.6978679
2650,1.564140362,1.564140362,1.564140362,1.564140362,1.564140362,1.564140362,156.4140362
2620,1.481730881,1.481730881,1.481730881,1.481730881,1.481730881,1.481730881,148.1730881
