Region,SiteName,calBP,PeriodID,d13Ccol,d15N,d15Ncorr,d13Cca,Lat,Log
Center,Arbolito_6,67,4,-16.1,9.6,9.6,-10.6,-35.1,-68.73
Center,Dique_25_de_Mayo,102,4,-18.87,10.05,10.05,-13.45,-34.59,-68.56
Center,El_Sosneado,185,4,-18.81,11.72,11.72,-12.9,-35.04,-69.35
Center,Tierras_Blancas,188,4,-15.5,9.5,9.5,-8.2,-35.06,-69.62
Center,Respolar_El_Nihuil,203,4,-18.86,12.15,12.15,-14.86,-35.01,-68.4
Center,El_Nihuil,288,4,-15.9,12.3,12.3,-12.2,-35.03,-68.67
Center,Agua_Buena,438,4,-19.36,11.5,11.5,-13.29,-34.83,-69.94
Center,Los_Coroneles,451,4,-11.71,8.91,8.91,-6.54,-34.6,-68.55
Center,Canon_del_Atuel,454,4,-14.47,9.08,9.08,-9.35,-34.9,-68.62
Center,Loma_del_Eje,521,3,-10.06,9.62,9.62,-5.09,-34.7,-68.3
Center,Cerro_Negro,541,3,-14.8,9,9,-7.4,-34.8,-68.38
Center,Gruta_del_Indio,541,3,-13.7,9.9,9.9,-7.6,-34.77,-68.37
Center,La_Hedionda,560,3,-12.14,10.19,10.19,-7.3,-34.48,-68.48
Center,El_Durazno,603,3,-14.38,9.62,9.62,-8.68,-34.73,-68.69
Center,La_Olla,605,3,-17.6,11.7,11.7,,-34.89,-67.74
Center,Puesto_Agua_del_Zapallo,605,3,-12.21,9.55,9.55,-6.53,-34.6,-68.55
Center,Puesto_Aisol,710,3,-15.33,11.95,11.95,-9.95,-34.89,-68.49
Center,Zanjon_Los_Jilgueros,720,3,-12.9,9.9,9.9,-8.5,-35,-68
Center,Las_Ramadas,845,3,-13.7,7.2,7.2,-7.6,-35.1,-69.6
Center,Arroyo_los_Jilgueros,856,3,-13.26,10.15,10.15,-7.99,-34.74,-68.48
Center,Campos_las_Julias,907,3,-12.26,9.83,9.83,-7.22,-34.25,-68.7
Center,Camping_Familiar_Cristiano,955,3,-12.2,10.2,10.2,-6.8,-35,-68
Center,Dique_Los_Reyunos,1016,3,-11.59,9.17,9.17,-5.86,-34.57,-68.68
Center,Agua_del_Medano,1053,3,-12.94,8.98,8.98,-7.03,-34.68,-69.52
Center,La_Guevarina,1110,3,-15.6,10.4,10.4,-8.1,-35,-68.02
Center,Ojo_de_Agua_LB_1,1140,3,-18.5,10.5,10.5,-12.2,-35.15,-69.65
Center,Cananada_Seca,1451,2,-15.13,10.23,10.23,,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.9,,,,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.83,10.82,10.82,-9.62,-34.74,-68.23
Center,Cananada_Seca,1451,2,-15.32,13.19,13.19,-10.39,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.39,11.36,11.36,-9.53,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.56,10.93,10.93,-9.51,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.3,11.5,11.5,-9.8,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.93,12.65,12.65,-9.99,-34.74,-68.23
Center,Cananada_Seca,1451,2,-15.27,12.37,12.37,-10.78,-34.74,-68.23
Center,Cananada_Seca,1451,2,-15.61,11.68,11.68,-10.05,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.5,10.4,10.4,-10.1,-34.74,-68.23
Center,Cananada_Seca,1451,2,-15.8,10.41,10.41,-9.43,-34.74,-68.23
Center,Cananada_Seca,1451,2,-15.7,11.6,11.6,-9,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.7,12.03,12.03,-9.46,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.3,11.3,11.3,-9.5,-34.74,-68.23
Center,Cananada_Seca,1451,2,-15.73,11.49,11.49,-10.16,-34.74,-68.23
Center,Cananada_Seca,1451,2,-15.92,10.91,10.91,-10.38,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.16,12.59,12.59,-9.23,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.87,10.75,10.75,-9.42,-34.74,-68.23
Center,Cananada_Seca,1451,2,-14.32,10.99,10.99,-8.12,-34.74,-68.23
Center,Ojo_de_Agua_2,1633,2,-17.7,8.9,8.9,-8.9,-35.151,-69.651
Center,Rincon_del_Atuel,1634,2,-15.04,9.98,9.98,-9.69,-34.76,-68.37
Center,Rincon_del_Atuel,1634,2,-13.5,10.3,10.3,-8.1,-34.76,-68.37
Center,Rincon_del_Atuel,1634,2,-14.95,8.85,8.85,-7.8,-34.76,-68.37
Center,Rincon_del_Atuel,1634,2,-13.8,9.4,9.4,-7.9,-34.76,-68.37
Center,Ojo_de_Agua_2,1635,2,-18.7,6.8,6.8,-7.2,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-19.2,5.7,5.7,-5.8,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-17.5,9.3,9.3,-6.4,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-17.7,9,9,-8.4,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-17.8,10.2,10.2,-9.9,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-17.9,8.7,8.7,-6.5,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-18.6,7.8,7.8,-6.1,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-18,8.5,8.5,-4.4,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-18,8.8,8.8,-6,-35.151,-69.651
Center,Ojo_de_Agua_2,1635,2,-17.5,9.3,9.3,-5.4,-35.151,-69.651
Center,Ojo_de_Agua_1,1724,2,-17.1,8.6,5.6,-8.9,-35.151,-69.651
Center,Ojo_de_Agua_1,1724,2,-17.4,9.1,9.1,-7.4,-35.151,-69.651
Center,Ojo_de_Agua_1,1724,2,-18.4,8.4,8.4,-6.2,-35.151,-69.651
Center,Ojo_de_Agua_1,1724,2,-17.8,10.1,7.1,-9.6,-35.151,-69.651
Center,Ojo_de_Agua_1,1724,2,-17.7,9.9,9.9,-7.4,-35.151,-69.651
Center,Ojo_de_Agua_1,1725,2,-18.2,8.2,8.2,-9.5,-35.151,-69.651
Center,Medano_Puesto_Diaz,1757,2,-15.6,8.7,8.7,-10.2,-34.7,-69.2
Center,Jaime_Prats,1789,2,-17.9,,,,-34.87,-67.8
Center,Jaime_Prats,1789,2,-18.28,10.02,10.02,-13.14,-34.87,-67.8
Center,Jaime_Prats,1789,2,-19.98,9.26,9.26,,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.32,11.24,11.24,-13.2,-34.87,-67.8
Center,Jaime_Prats,1789,2,-19.47,8.64,8.64,-13.57,-34.87,-67.8
Center,Jaime_Prats,1789,2,-18.05,10.17,10.17,-12.88,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.84,10.99,10.99,-12.75,-34.87,-67.8
Center,Jaime_Prats,1789,2,-16.56,11.36,11.36,-11.31,-34.87,-67.8
Center,Jaime_Prats,1789,2,-16.8,10.6,10.6,-10.2,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.52,11.22,11.22,-12.8,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.71,11.25,11.25,-12.22,-34.87,-67.8
Center,Jaime_Prats,1789,2,-18.11,10.09,10.09,-12.98,-34.87,-67.8
Center,Jaime_Prats,1789,2,-16.45,12.08,12.08,-12.28,-34.87,-67.8
Center,Jaime_Prats,1789,2,-19.07,10.01,10.01,-12.61,-34.87,-67.8
Center,Jaime_Prats,1789,2,-16,10.9,10.9,-9.3,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.36,10.41,10.41,-10.65,-34.87,-67.8
Center,Jaime_Prats,1789,2,-19.8,10.6,10.6,-13.38,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.71,10.75,10.75,-11.23,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.06,12,12,-12.03,-34.87,-67.8
Center,Jaime_Prats,1789,2,-15.45,12.07,12.07,-10.53,-34.87,-67.8
Center,Jaime_Prats,1789,2,-15.61,13.3,13.3,-9.55,-34.87,-67.8
Center,Jaime_Prats,1789,2,-18.15,10.84,10.84,-12.34,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.43,11.09,11.09,-12.66,-34.87,-67.8
Center,Jaime_Prats,1789,2,-16.3,9.9,9.9,-10.6,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.97,11.28,11.28,-14.23,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.34,11.12,11.12,-12.49,-34.87,-67.8
Center,Jaime_Prats,1789,2,-17.76,11.46,11.46,-12.65,-34.87,-67.8
